index,time_ms,time_s,position_m,velocity_mps,accel_mps2,current_A
144,1430,1.4300,0.000000,0.00000,0.0000,4.9481
145,1440,1.4400,0.000000,0.00000,0.0000,4.3697
146,1450,1.4500,0.000000,0.00000,0.0000,3.9805
147,1460,1.4600,0.000000,0.00000,0.0000,3.7958
148,1470,1.4700,0.000000,0.00000,0.0000,5.3251
149,1480,1.4800,0.000000,0.00000,0.0000,4.9267
150,1490,1.4900,0.000000,0.00000,0.0000,4.5879
151,1500,1.5000,0.000000,0.00000,0.0000,3.8706
152,1510,1.5100,0.000000,0.00000,0.0000,4.3880
153,1520,1.5200,0.000000,0.00000,0.0000,4.9206
154,1530,1.5300,0.000000,0.00000,0.0000,5.3602
155,1540,1.5400,0.000000,0.00000,0.0000,4.4872
156,1550,1.5500,0.000000,0.00000,0.0000,4.1514
157,1560,1.5600,0.000000,0.00000,0.0000,3.5058
158,1570,1.5700,0.000000,0.00000,0.0000,4.6993
159,1580,1.5800,0.000000,0.00000,0.0000,5.2976
160,1590,1.5900,0.000000,0.00000,0.0000,4.7115
161,1600,1.6000,0.000000,0.00000,0.0000,3.6264
162,1610,1.6100,0.000000,0.00000,0.0000,3.5852
163,1620,1.6200,0.000000,0.00000,0.0000,4.4643
164,1630,1.6300,0.000000,0.00000,0.0000,5.2839
165,1640,1.6400,0.000000,0.00000,0.0000,4.7527
166,1650,1.6500,0.000000,0.00000,0.0000,3.9820
167,1660,1.6600,0.000000,0.00000,0.0000,3.6599
168,1670,1.6700,0.000000,0.00000,0.0000,4.0568
169,1680,1.6800,0.000000,0.00000,0.0000,5.4823
170,1690,1.6900,0.000000,0.00000,0.0000,4.8733
171,1700,1.7000,0.000000,0.00000,0.0000,3.8034
172,1710,1.7100,0.000000,0.00000,0.0000,3.5150
173,1720,1.7200,0.000000,0.00000,0.0000,4.4444
174,1730,1.7300,0.000000,0.00000,0.0000,5.2595
175,1740,1.7400,0.000000,0.00000,0.0000,4.5681
176,1750,1.7500,0.000000,0.00000,0.0000,4.0171
177,1760,1.7600,0.000000,0.00000,0.0000,3.4631
178,1770,1.7700,0.000000,0.00000,0.0000,4.0705
179,1780,1.7800,0.000000,0.00000,0.0000,5.0748
180,1790,1.7900,0.000000,0.00000,0.0000,4.5192
181,1800,1.8000,0.000000,0.00000,0.0000,3.6890
182,1810,1.8100,0.000000,0.00000,0.0000,3.3532
183,1820,1.8200,0.000000,0.00000,0.0000,4.6703
184,1830,1.8300,0.000000,0.00000,0.0000,5.0809
185,1840,1.8400,0.000000,0.00000,0.0000,4.4139
186,1850,1.8500,0.000000,0.00000,0.0000,3.6523
187,1860,1.8600,0.000000,0.00000,0.0000,3.6508
188,1870,1.8700,0.000000,0.00000,0.0000,5.0382
189,1880,1.8800,0.000000,0.00000,0.0000,4.7711
190,1890,1.8900,0.000000,0.00000,0.0000,4.3651
191,1900,1.9000,0.000000,0.00000,0.0000,3.5333
