time_s,t_us,pcnt_count,d_pcnt,dpos_m,position_m,dir_m1_0_p1,adc_a,adc_b
1.199839,23576427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.209839,23586427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.219839,23596427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.229839,23606427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.239839,23616427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.249843,23626431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.259843,23636431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.269843,23646431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.279843,23656431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.289843,23666431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.299843,23676431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.309843,23686431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.319843,23696431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.329843,23706431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.339839,23716427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.349839,23726427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.359839,23736427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.369839,23746427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.379839,23756427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.389839,23766427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.399839,23776427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.409839,23786427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.419843,23796431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.429839,23806427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.439839,23816427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.449839,23826427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.459839,23836427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.469839,23846427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.479839,23856427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.489839,23866427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.499839,23876427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.509843,23886431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.519843,23896431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.529843,23906431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.539839,23916427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.549839,23926427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.559843,23936431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.569843,23946431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.579843,23956431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.589843,23966431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.599843,23976431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.609843,23986431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.619843,23996431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.629843,24006431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.639843,24016431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.649839,24026427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.659839,24036427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.669839,24046427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.679843,24056431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.689843,24066431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.699843,24076431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.709843,24086431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.719843,24096431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.729839,24106427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.739843,24116431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.749843,24126431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.759839,24136427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.769843,24146431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.779843,24156431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.789843,24166431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.799839,24176427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.809839,24186427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.819843,24196431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.829843,24206431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.839843,24216431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.849843,24226431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.859843,24236431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.869843,24246431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.879843,24256431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.889843,24266431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.899843,24276431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.909843,24286431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.919843,24296431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.929843,24306431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.939843,24316431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.949839,24326427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.959839,24336427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.969843,24346431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.979839,24356427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.989839,24366427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.999843,24376431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.009843,24386431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.019843,24396431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.029843,24406431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.039843,24416431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.049843,24426431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.059843,24436431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.069843,24446431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.079843,24456431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.089843,24466431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.099843,24476431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.109843,24486431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.119839,24496427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.129839,24506427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.139839,24516427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.149839,24526427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.159839,24536427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.169843,24546431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.179839,24556427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.189839,24566427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.199843,24576431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.209843,24586431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.219843,24596431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.229843,24606431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.239843,24616431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.249839,24626427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.259839,24636427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.269839,24646427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.279843,24656431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.289843,24666431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.299843,24676431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.309843,24686431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.319843,24696431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.329843,24706431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.339843,24716431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.349843,24726431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.359843,24736431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.369843,24746431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.379839,24756427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.389839,24766427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.399839,24776427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.409843,24786431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.419839,24796427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.429839,24806427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.439843,24816431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.449843,24826431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.459843,24836431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.469843,24846431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.479843,24856431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.489843,24866431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.499839,24876427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.509839,24886427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.519843,24896431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.529843,24906431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.539843,24916431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.549843,24926431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.559843,24936431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.569839,24946427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.579839,24956427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.589843,24966431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.599843,24976431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.609843,24986431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.619843,24996431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.629843,25006431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.639843,25016431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.649843,25026431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.659843,25036431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.669843,25046431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.679843,25056431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.689839,25066427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.699839,25076427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.709839,25086427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.719839,25096427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.729843,25106431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.739843,25116431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.749843,25126431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.759843,25136431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.769839,25146427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.779843,25156431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.789843,25166431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.799843,25176431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.809843,25186431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.819839,25196427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.829839,25206427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.839839,25216427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.849839,25226427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.859839,25236427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.869843,25246431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.879843,25256431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.889843,25266431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.899843,25276431,-2,0,0.00000000,-0.00026599,0,4095,4095
