time_s,t_us,pcnt_count,d_pcnt,dpos_m,position_m,dir_m1_0_p1
2.159834,23632380,0,0,0.00000000,0.00000000,0
2.169834,23642380,0,0,0.00000000,0.00000000,0
2.179834,23652380,0,0,0.00000000,0.00000000,0
2.189834,23662380,0,0,0.00000000,0.00000000,0
2.199834,23672380,0,0,0.00000000,0.00000000,0
2.209834,23682380,0,0,0.00000000,0.00000000,0
2.219834,23692380,0,0,0.00000000,0.00000000,0
2.229834,23702380,0,0,0.00000000,0.00000000,0
2.239834,23712380,0,0,0.00000000,0.00000000,0
2.249834,23722380,0,0,0.00000000,0.00000000,0
2.259834,23732380,0,0,0.00000000,0.00000000,0
2.269834,23742380,0,0,0.00000000,0.00000000,0
2.279834,23752380,0,0,0.00000000,0.00000000,0
2.289834,23762380,0,0,0.00000000,0.00000000,0
2.299834,23772380,0,0,0.00000000,0.00000000,0
2.309834,23782380,0,0,0.00000000,0.00000000,0
2.319834,23792380,0,0,0.00000000,0.00000000,0
2.329834,23802380,0,0,0.00000000,0.00000000,0
2.339834,23812380,0,0,0.00000000,0.00000000,0
2.349834,23822380,0,0,0.00000000,0.00000000,0
2.359834,23832380,0,0,0.00000000,0.00000000,0
2.369834,23842380,0,0,0.00000000,0.00000000,0
2.379834,23852380,0,0,0.00000000,0.00000000,0
2.389834,23862380,0,0,0.00000000,0.00000000,0
2.399834,23872380,0,0,0.00000000,0.00000000,0
2.409834,23882380,0,0,0.00000000,0.00000000,0
2.419834,23892380,0,0,0.00000000,0.00000000,0
2.429834,23902380,0,0,0.00000000,0.00000000,0
2.439834,23912380,0,0,0.00000000,0.00000000,0
2.449834,23922380,0,0,0.00000000,0.00000000,0
2.459834,23932380,0,0,0.00000000,0.00000000,0
2.469834,23942380,0,0,0.00000000,0.00000000,0
2.479834,23952380,0,0,0.00000000,0.00000000,0
2.489834,23962380,0,0,0.00000000,0.00000000,0
2.499834,23972380,0,0,0.00000000,0.00000000,0
2.509834,23982380,0,0,0.00000000,0.00000000,0
2.519834,23992380,0,0,0.00000000,0.00000000,0
2.529834,24002380,0,0,0.00000000,0.00000000,0
2.539834,24012380,0,0,0.00000000,0.00000000,0
2.549834,24022380,0,0,0.00000000,0.00000000,0
2.559834,24032380,0,0,0.00000000,0.00000000,0
2.569834,24042380,0,0,0.00000000,0.00000000,0
2.579834,24052380,0,0,0.00000000,0.00000000,0
2.589834,24062380,0,0,0.00000000,0.00000000,0
2.599834,24072380,0,0,0.00000000,0.00000000,0
2.609834,24082380,0,0,0.00000000,0.00000000,0
2.619834,24092380,0,0,0.00000000,0.00000000,0
2.629834,24102380,0,0,0.00000000,0.00000000,0
2.639834,24112380,0,0,0.00000000,0.00000000,0
2.649834,24122380,0,0,0.00000000,0.00000000,0
2.659834,24132380,0,0,0.00000000,0.00000000,0
2.669834,24142380,0,0,0.00000000,0.00000000,0
2.679834,24152380,0,0,0.00000000,0.00000000,0
2.689834,24162380,0,0,0.00000000,0.00000000,0
2.699834,24172380,0,0,0.00000000,0.00000000,0
2.709834,24182380,0,0,0.00000000,0.00000000,0
2.719834,24192380,0,0,0.00000000,0.00000000,0
2.729834,24202380,0,0,0.00000000,0.00000000,0
2.739834,24212380,0,0,0.00000000,0.00000000,0
2.749834,24222380,0,0,0.00000000,0.00000000,0
2.759834,24232380,0,0,0.00000000,0.00000000,0
2.769834,24242380,0,0,0.00000000,0.00000000,0
2.779834,24252380,0,0,0.00000000,0.00000000,0
2.789834,24262380,0,0,0.00000000,0.00000000,0
2.799834,24272380,0,0,0.00000000,0.00000000,0
2.809834,24282380,0,0,0.00000000,0.00000000,0
2.819834,24292380,0,0,0.00000000,0.00000000,0
2.829834,24302380,0,0,0.00000000,0.00000000,0
2.839834,24312380,0,0,0.00000000,0.00000000,0
2.849834,24322380,0,0,0.00000000,0.00000000,0
2.859834,24332380,0,0,0.00000000,0.00000000,0
